timestamp,common_name,confidence
12-21-2025 15:49:40,Canada Goose,0.147
12-21-2025 15:49:43,Canada Goose,0.123
12-21-2025 15:50:49,House Finch,0.126
12-21-2025 15:51:16,House Finch,0.266
12-21-2025 15:51:19,House Finch,0.698
12-21-2025 15:51:22,House Finch,0.439
12-21-2025 15:51:25,House Finch,0.66
12-21-2025 15:51:28,House Finch,0.141
12-21-2025 15:51:52,House Finch,0.247
12-21-2025 15:51:55,House Finch,0.222
12-21-2025 15:51:58,Tufted Titmouse,0.147
12-21-2025 15:52:07,House Finch,0.317
12-21-2025 15:52:19,House Finch,0.208
12-21-2025 15:55:25,White-breasted Nuthatch,0.68
12-21-2025 15:55:31,White-breasted Nuthatch,0.941
12-21-2025 15:55:34,White-breasted Nuthatch,0.546
12-21-2025 15:55:37,White-breasted Nuthatch,0.586
12-21-2025 15:55:40,White-breasted Nuthatch,0.293
12-21-2025 15:55:46,White-breasted Nuthatch,0.865
12-21-2025 15:55:49,White-breasted Nuthatch,0.937
12-21-2025 15:55:52,White-breasted Nuthatch,0.874
12-21-2025 15:58:31,Green-winged Teal,0.106
12-21-2025 16:02:31,Common Goldeneye,0.127
12-21-2025 16:03:58,Green-winged Teal,0.169
12-21-2025 16:11:44,Red-bellied Woodpecker,0.397
12-21-2025 16:14:20,Tufted Titmouse,0.565
12-21-2025 16:15:50,Tufted Titmouse,0.131
12-21-2025 16:15:56,Tufted Titmouse,0.555
12-21-2025 16:15:59,Tufted Titmouse,0.775
12-21-2025 16:27:02,Great Blue Heron,0.135
12-21-2025 16:27:53,Red-necked Grebe,0.12
12-21-2025 19:02:10,Mallard,0.156
12-21-2025 19:56:59,Gadwall,0.108
12-21-2025 20:51:09,American Crow,0.165
12-21-2025 21:27:18,Red-breasted Nuthatch,0.231
12-21-2025 21:27:18,White-breasted Nuthatch,0.125
12-21-2025 22:23:12,Gadwall,0.105
12-21-2025 23:27:01,Eastern Bluebird,0.169
12-21-2025 23:56:53,Dunlin,0.14
12-22-2025 06:48:09,Northern Cardinal,0.32
12-22-2025 06:48:12,Northern Cardinal,0.258
12-22-2025 06:48:15,Northern Cardinal,0.111
12-22-2025 07:08:30,White-throated Sparrow,0.135
12-22-2025 07:08:39,White-throated Sparrow,0.654
12-22-2025 07:09:12,White-throated Sparrow,0.82
12-22-2025 07:09:18,White-throated Sparrow,0.817
12-22-2025 07:10:57,Tufted Titmouse,0.805
12-22-2025 07:11:00,Tufted Titmouse,0.975
12-22-2025 07:11:06,Tufted Titmouse,0.476
12-22-2025 07:32:30,Tufted Titmouse,0.383
12-22-2025 07:33:18,Tufted Titmouse,0.133
12-22-2025 07:35:33,House Finch,0.742
12-22-2025 07:35:42,Tufted Titmouse,0.577
12-22-2025 07:35:54,Tufted Titmouse,0.164
12-22-2025 07:37:27,Tufted Titmouse,0.628
12-22-2025 07:38:12,House Finch,0.16
12-22-2025 07:38:33,House Finch,0.143
12-22-2025 07:48:04,House Finch,0.172
12-22-2025 07:58:04,Canada Goose,0.298
12-22-2025 07:58:07,Tundra Swan,0.152
12-22-2025 07:58:10,Canada Goose,0.533
12-22-2025 07:58:13,Canada Goose,0.686
12-22-2025 08:00:16,Carolina Wren,0.415
12-22-2025 08:00:28,Purple Finch,0.182
12-22-2025 08:00:31,Ruby-crowned Kinglet,0.123
12-22-2025 08:00:34,House Finch,0.1
12-22-2025 08:36:49,Red-bellied Woodpecker,0.195
12-22-2025 08:37:46,Common Grackle,0.189
12-22-2025 08:37:49,Blue Jay,0.305
12-22-2025 08:38:01,House Finch,0.175
12-22-2025 09:52:19,Blue Jay,0.944
12-22-2025 09:52:19,Red-tailed Hawk,0.157
12-22-2025 09:52:21,Blue Jay,0.906
12-22-2025 09:52:25,Blue Jay,0.261
12-22-2025 09:53:40,Green-winged Teal,0.287
12-22-2025 09:53:42,Green-winged Teal,0.112
12-22-2025 09:54:15,Black-capped Chickadee,0.366
12-22-2025 09:55:30,Song Sparrow,0.319
12-22-2025 09:55:51,Song Sparrow,0.169
12-22-2025 09:56:12,Song Sparrow,0.127
12-22-2025 09:56:18,Song Sparrow,0.108
12-22-2025 09:56:21,Song Sparrow,0.316
12-22-2025 09:56:24,Song Sparrow,0.348
12-22-2025 09:56:36,White-breasted Nuthatch,0.755
12-22-2025 09:56:39,Red-breasted Nuthatch,0.235
12-22-2025 09:56:39,White-breasted Nuthatch,0.198
12-22-2025 09:57:15,Song Sparrow,0.116
12-22-2025 09:57:24,White-breasted Nuthatch,0.815
12-22-2025 09:57:30,White-breasted Nuthatch,0.349
12-22-2025 09:57:33,Song Sparrow,0.101
12-22-2025 09:57:39,Song Sparrow,0.131
12-22-2025 09:59:36,House Finch,0.166
12-22-2025 09:59:39,House Finch,0.333
12-22-2025 10:01:14,House Finch,0.974
12-22-2025 10:01:17,House Finch,0.831
12-22-2025 10:02:21,House Finch,0.246
12-22-2025 10:02:27,House Finch,0.26
12-22-2025 10:02:33,House Finch,0.358
12-22-2025 10:02:40,House Finch,0.134
12-22-2025 10:03:04,House Finch,0.602
12-22-2025 10:03:22,House Finch,0.222
12-22-2025 10:10:00,Tundra Swan,0.776
12-22-2025 10:10:03,Tundra Swan,0.116
12-22-2025 10:10:12,House Finch,0.965
12-22-2025 10:10:15,House Finch,0.262
12-22-2025 10:10:36,House Finch,0.543
12-22-2025 12:34:49,Common Loon,0.322
12-22-2025 13:25:54,Blue Jay,0.344
12-22-2025 13:25:58,Blue Jay,0.283
12-22-2025 13:26:00,Blue Jay,0.165
12-22-2025 13:26:00,White-throated Sparrow,0.118
12-22-2025 13:27:42,House Finch,0.157
12-22-2025 13:28:45,White-throated Sparrow,0.358
12-22-2025 13:28:48,White-throated Sparrow,0.101
12-22-2025 13:29:12,House Finch,0.258
12-22-2025 13:29:21,Blue Jay,0.569
12-22-2025 13:29:24,House Finch,0.17
12-22-2025 13:30:03,House Finch,0.18
12-22-2025 13:30:09,Blue Jay,0.76
12-22-2025 13:33:01,House Finch,0.857
12-22-2025 13:33:04,House Finch,0.828
12-22-2025 13:33:07,House Finch,0.16
12-22-2025 13:33:10,House Finch,0.144
12-22-2025 13:33:25,House Finch,0.734
12-22-2025 13:33:46,House Finch,0.686
12-22-2025 13:35:45,House Finch,0.313
12-22-2025 13:37:09,House Finch,0.358
12-22-2025 13:40:22,House Finch,0.357
12-22-2025 13:40:30,House Finch,0.14
12-22-2025 13:40:43,House Finch,0.126
12-22-2025 13:52:31,House Finch,0.233
12-22-2025 14:01:08,House Finch,0.107
12-22-2025 14:03:31,White-breasted Nuthatch,0.139
12-22-2025 14:20:38,Blue Jay,0.388
12-22-2025 14:21:35,House Finch,0.584
12-22-2025 14:22:08,House Finch,0.879
12-22-2025 14:22:15,House Finch,0.725
12-22-2025 14:22:18,House Finch,0.648
12-22-2025 14:22:21,House Finch,0.104
12-22-2025 14:22:24,House Finch,0.116
12-22-2025 14:22:33,House Finch,0.508
12-22-2025 14:22:36,House Finch,0.394
12-22-2025 14:22:39,House Finch,0.126
12-22-2025 14:22:46,House Finch,0.542
12-22-2025 14:22:49,House Finch,0.187
12-22-2025 14:22:52,House Finch,0.698
12-22-2025 14:22:55,House Finch,0.832
12-22-2025 14:23:03,House Finch,0.301
12-22-2025 14:23:06,House Finch,0.782
12-22-2025 14:23:09,House Finch,0.568
12-22-2025 14:23:42,House Finch,0.828
12-22-2025 14:23:58,House Finch,0.727
12-22-2025 14:24:02,House Finch,0.287
12-22-2025 14:24:15,House Finch,0.783
12-22-2025 14:24:27,House Finch,0.317
12-22-2025 14:24:39,House Finch,0.105
12-22-2025 14:24:58,Red-breasted Nuthatch,0.334
12-22-2025 14:24:58,White-breasted Nuthatch,0.286
12-22-2025 14:25:10,House Finch,0.782
12-22-2025 14:25:22,White-throated Sparrow,0.507
12-22-2025 14:25:31,White-breasted Nuthatch,0.115
12-22-2025 14:25:52,House Finch,0.391
